tanggal,wp_id,omset,target_pajak,pajak_dibayar,rasio_pajakdibayar,bulan,nama_sektor,nama_kecamatan,txn_wp_month,kode_sector_2,kode_sector_3,kode_sector_4,kode_sector_5,kode_sector_6,kode_sector_7,kode_sector_8,kode_sector_9,kode_sector_10,kode_kecamatan_2,kode_kecamatan_3,kode_kecamatan_4,kode_kecamatan_5,kode_kecamatan_6,kode_kecamatan_7,kode_kecamatan_8,kode_kecamatan_9,kode_kecamatan_10,anomaly_label,anomaly_score,is_anomaly
2025-03-05,1243,99734127.0,37589221.62,19363134.02,0.515124633751328,3,sector_hotel,Kecamatan C,2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-1,0.0030441286487238317,True
2024-11-01,1401,79710528.0,8451463.79,1890889.48,0.22373514541201153,11,sector_hotel,Kecamatan C,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1,0.014975808499613885,True
2025-06-17,1425,97889239.0,43810628.22,33656883.32,0.7682355786132117,6,sector_parkir,Kecamatan A,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,0.014906871690903767,True
2025-01-13,1984,83066195.0,11953659.06,6514.95,0.0005450172175146511,1,sector_restoran,Kecamatan A,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,0.013033731886039623,True
2024-11-19,1703,72307174.0,9564534.88,1189917.97,0.12440939208535773,11,sector_pabrik,Kecamatan B,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,-1,0.030776276957772963,True
2025-01-17,1787,78485992.0,12556497.36,12501755.61,0.9956403646311124,1,sector_hotel,Kecamatan D,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1,0.01467813625968617,True
2024-12-07,1402,78441673.0,8993488.92,1541083.03,0.17135541542425117,12,sector_restoran,Kecamatan C,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,-1,0.02625598648029892,True
2025-03-08,1697,86330441.0,30654700.88,30139519.95,0.9831940643617202,3,sector_restoran,Kecamatan C,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1,0.0008745481843006608,True
2025-03-10,1137,50326184.0,7553414.78,147867.11,0.01957619359015261,3,sector_parkir,Kecamatan D,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,-1,0.006520969873906379,True
2025-01-16,1222,99041689.0,36527765.94,12161999.98,0.3329521986090563,1,sector_restoran,Kecamatan B,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-1,0.01687679666352926,True
2025-03-26,1243,60993070.0,21239082.58,1620825.09,0.07631332868992499,3,sector_toko,Kecamatan B,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,-1,0.00589715141871916,True
2025-01-06,1222,97662558.0,38247549.33,8321057.84,0.217557934711212,1,sector_pabrik,Kecamatan C,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,-1,0.012494565172664007,True
2025-04-02,1554,83835870.0,9431874.23,2257755.65,0.23937508017428258,4,sector_parkir,Kecamatan A,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,-1,0.014853259493924909,True
2025-04-23,1554,93373334.0,20146916.96,387640.79,0.019240700240618847,4,sector_pabrik,Kecamatan D,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,-1,0.008891332289591602,True
2024-11-12,1401,87139090.0,43435594.69,39132160.83,0.9009237955480148,11,sector_parkir,Kecamatan A,2,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-1,0.014330774826974535,True
